REPORTER METABOLITES USING TEST TYPE: all
ID	NAME	Z-SCORE	P-VALUE	NUMBER OF NEIGHBOURS	AVERAGE Z-SCORE	STD Z-SCORE
m02214g	keratan sulfate I biosynthesis, precursor 21[Golgi apparatus]	0.36719	0.35674	7	4.0378	3.5566
m02217g	keratan sulfate I biosynthesis, precursor 24[Golgi apparatus]	0.36719	0.35674	7	4.0378	3.5566
m02220g	keratan sulfate I biosynthesis, precursor 27[Golgi apparatus]	0.36719	0.35674	7	4.0378	3.5566
m02223g	keratan sulfate I biosynthesis, precursor 3[Golgi apparatus]	0.36719	0.35674	7	4.0378	3.5566
m02233g	keratan sulfate I biosynthesis, precursor 6[Golgi apparatus]	0.36719	0.35674	7	4.0378	3.5566
m02236g	keratan sulfate I biosynthesis, precursor 9[Golgi apparatus]	0.36719	0.35674	7	4.0378	3.5566
m02946c	sulfate[Cytosol]	0.35877	0.35988	3	4.3558	2.0902
m00200c	[protein]-L-cysteine[Cytosol]	0.35588	0.36097	1	4.97	0
m01806c	farnesyl-PP[Cytosol]	0.35588	0.36097	1	4.97	0
m02926c	spermine[Cytosol]	0.35347	0.36187	3	4.3425	4.0836
m00789c	3-hydroxy-N6,N6,N6-trimethyl-L-lysine[Cytosol]	0.3514	0.36264	1	4.9507	0
m01034c	4-trimethylammoniobutanal[Cytosol]	0.3514	0.36264	1	4.9507	0
m02896m	serine[Mitochondria]	0.3514	0.36264	1	4.9507	0
m00914c	3-phosphonooxypyruvate[Cytosol]	0.34986	0.36322	1	4.944	0
m01334m	AMP[Mitochondria]	0.3357	0.36855	7	3.9862	5.2949
m02202g	keratan sulfate I biosynthesis, precursor 10[Golgi apparatus]	0.33127	0.37022	6	4.0164	3.957
m02205g	keratan sulfate I biosynthesis, precursor 13[Golgi apparatus]	0.33127	0.37022	6	4.0164	3.957
m02208g	keratan sulfate I biosynthesis, precursor 16[Golgi apparatus]	0.33127	0.37022	6	4.0164	3.957
m02211g	keratan sulfate I biosynthesis, precursor 19[Golgi apparatus]	0.33127	0.37022	6	4.0164	3.957
m02215g	keratan sulfate I biosynthesis, precursor 22[Golgi apparatus]	0.33127	0.37022	6	4.0164	3.957
m02218g	keratan sulfate I biosynthesis, precursor 25[Golgi apparatus]	0.33127	0.37022	6	4.0164	3.957
m02231g	keratan sulfate I biosynthesis, precursor 4[Golgi apparatus]	0.33127	0.37022	6	4.0164	3.957
m02234g	keratan sulfate I biosynthesis, precursor 7[Golgi apparatus]	0.33127	0.37022	6	4.0164	3.957
m03110c	UDP-N-acetyl-D-galactosamine[Cytosol]	0.32973	0.3708	1	4.857	0
m01366c	argininosuccinate[Cytosol]	0.32795	0.37147	1	4.8493	0
m01862c	fumarate[Cytosol]	0.32795	0.37147	1	4.8493	0
m02898c	S-farnesyl-protein[Cytosol]	0.32707	0.37181	2	4.4213	0.776
m02498c	N,N-chitobiosyldiphosphodolichol[Cytosol]	0.32634	0.37208	1	4.8423	0
m02522c	N-acetyl-D-glucosaminyldiphosphodolichol[Cytosol]	0.32634	0.37208	1	4.8423	0
m02328c	LacCer pool[Cytosol]	0.31799	0.37525	3	4.2529	0.70738
m01843c	fructose-2,6-bisphosphate[Cytosol]	0.31717	0.37556	5	4.0406	3.0194
m01362c	arachidonate[Cytosol]	0.31392	0.37679	13	3.7974	3.9033
m02328g	LacCer pool[Golgi apparatus]	0.30072	0.38182	1	4.7315	0
m00811c	3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00839c	3-oxo-11cis-docosenoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00840c	3-oxo-11-cis-eicosenoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00842c	3-oxo-13cis-docosenoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00843c	3-oxo-13-cis-eicosenoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00852c	3-oxo-9-cis-eicosenoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00856c	3-oxo-cis-15-tetracosaenoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00860c	3-oxodocasa-cis,cis-13,16-dienoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00861c	3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00862c	3-oxo-docosa-13,16,19-all-cis-trienoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00863c	3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00864c	3-oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00866c	3-oxodocosanoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00869c	3-oxoeicosa-cis,cis,cis-11,14,17-trienoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00870c	3-oxoeicosa-cis,cis-11,14-dienoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00871c	3-oxo-eicosadienoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00872c	3-oxoeicosanoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00873c	3-oxoheneicosanoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00878c	3-oxohexacosanoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00879c	3-oxo-hexacosenoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00887c	3-oxononadecanoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00890c	3-oxooctadecanoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00901c	3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00902c	3-oxo-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00904c	3-oxotetracosanoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00907c	3-oxotricosanoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00865c	3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA[Cytosol]	0.284	0.38821	3	4.1671	1.8796
m00505c	1-acylglycerol-LD-PE pool[Cytosol]	0.27529	0.39154	4	4.0157	3.9617
m00506c	1-acylglycerol-LD-PI pool[Cytosol]	0.27529	0.39154	4	4.0157	3.9617
m00508c	1-acylglycerol-LD-SM pool[Cytosol]	0.27529	0.39154	4	4.0157	3.9617
m01810c	fatty acid-LD-PI pool[Cytosol]	0.27529	0.39154	4	4.0157	3.9617
m01812c	fatty acid-LD-SM pool[Cytosol]	0.27529	0.39154	4	4.0157	3.9617
m02751s	Pi[Extracellular]	0.27374	0.39214	14	3.7421	3.8461
m03106g	UDP[Golgi apparatus]	0.27358	0.3922	9	3.8183	3.2224
m01033c	4-pyridoxate[Cytosol]	0.27164	0.39295	1	4.6057	0
m02505c	N1-methyl-2-pyridone-5-carboxamide[Cytosol]	0.27164	0.39295	1	4.6057	0
m02506c	N1-methyl-4-pyridone-5-carboxamide[Cytosol]	0.27164	0.39295	1	4.6057	0
m01736s	dopamine[Extracellular]	0.24882	0.40175	2	4.1811	2.4097
m02617c	noradrenaline[Cytosol]	0.24882	0.40175	2	4.1811	2.4097
m02617s	noradrenaline[Extracellular]	0.24882	0.40175	2	4.1811	2.4097
m02684c	PC-LD pool[Cytosol]	0.24841	0.40191	10	3.769	3.6234
m00736c	3,5-diiodo-L-thyronine[Cytosol]	0.2465	0.40265	1	4.497	0
m00737c	3,5-diiodo-L-thyronine-4-O-sulfate[Cytosol]	0.2465	0.40265	1	4.497	0
m00828c	3-monoiodo-L-thyronine[Cytosol]	0.2465	0.40265	1	4.497	0
m00829c	3-monoiodo-L-thyronine-4-O-sulfate[Cytosol]	0.2465	0.40265	1	4.497	0
m02444c	malonyl-CoA[Cytosol]	0.24524	0.40313	5	3.9014	1.5251
m01369m	asparagine[Mitochondria]	0.24005	0.40515	1	4.4692	0
m01628m	cysteine[Mitochondria]	0.24005	0.40515	1	4.4692	0
m02349m	L-cystathionine[Mitochondria]	0.24005	0.40515	1	4.4692	0
m02471m	methionine[Mitochondria]	0.24005	0.40515	1	4.4692	0
m02530m	N-acetyl-L-alanine[Mitochondria]	0.24005	0.40515	1	4.4692	0
m02531m	N-acetyl-L-asparagine[Mitochondria]	0.24005	0.40515	1	4.4692	0
m02533m	N-acetyl-L-cystathionine[Mitochondria]	0.24005	0.40515	1	4.4692	0
m02534m	N-acetyl-L-cysteine[Mitochondria]	0.24005	0.40515	1	4.4692	0
m02536m	N-acetyl-L-glutamate[Mitochondria]	0.24005	0.40515	1	4.4692	0
m02540m	N-acetylmethionine[Mitochondria]	0.24005	0.40515	1	4.4692	0
m03109c	UDP-glucuronate[Cytosol]	0.23693	0.40636	4	3.9325	1.8376
m02666c	oxidized thioredoxin[Cytosol]	0.23515	0.40705	2	4.1391	3.6006
m02666m	oxidized thioredoxin[Mitochondria]	0.23515	0.40705	2	4.1391	3.6006
m02990c	thioredoxin[Cytosol]	0.23515	0.40705	2	4.1391	3.6006
m02990m	thioredoxin[Mitochondria]	0.23515	0.40705	2	4.1391	3.6006
m01959c	globoside[Cytosol]	0.23032	0.40892	1	4.4271	0
m01960c	globotriaosylceramide[Cytosol]	0.23032	0.40892	1	4.4271	0
m02525c	N-acetylgalactosamine[Cytosol]	0.23032	0.40892	1	4.4271	0
m01700c	dihydrofolate[Cytosol]	0.21126	0.41634	1	4.3446	0
m01830c	folate[Cytosol]	0.21126	0.41634	1	4.3446	0
m00140r	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[Endoplasmic reticulum]	0.21088	0.41649	1	4.343	0
m00198r	[protein]-L-asparagine[Endoplasmic reticulum]	0.21088	0.41649	1	4.343	0
m01732r	dolichyl-diphosphate[Endoplasmic reticulum]	0.21088	0.41649	1	4.343	0
m01699c	dihydroceramide pool[Cytosol]	0.2039	0.41922	3	3.965	2.0751
m02585c	nicotinate ribonucleotide[Cytosol]	0.20076	0.42044	3	3.9571	2.5917
m02439m	malate[Mitochondria]	0.19844	0.42135	1	4.2892	0
m02728c	phosphatidate-LD-PC pool[Cytosol]	0.19609	0.42227	5	3.8063	2.9133
m02730c	phosphatidate-LD-PI pool[Cytosol]	0.19609	0.42227	5	3.8063	2.9133
m02732c	phosphatidate-LD-SM pool[Cytosol]	0.19609	0.42227	5	3.8063	2.9133
m01972c	glucosylceramide pool[Cytosol]	0.18775	0.42554	3	3.9242	2.1369
m00163c	(R)-4-phosphopantothenoyl-cysteine[Cytosol]	0.18447	0.42682	2	3.9836	1.4669
m00163m	(R)-4-phosphopantothenoyl-cysteine[Mitochondria]	0.18447	0.42682	2	3.9836	1.4669
m01636c	D-4-phosphopantothenate[Cytosol]	0.18447	0.42682	2	3.9836	1.4669
m02623m	N-pantothenoylcysteine[Mitochondria]	0.18447	0.42682	2	3.9836	1.4669
m02679m	pantetheine[Mitochondria]	0.18447	0.42682	2	3.9836	1.4669
m02741m	phosphopantetheine[Mitochondria]	0.18447	0.42682	2	3.9836	1.4669
m02527c	N-acetylglucosamine[Cytosol]	0.18101	0.42818	1	4.2139	0
m00552n	1-phosphatidyl-1D-myo-inositol-3-phosphate[Nucleus]	0.17891	0.429	1	4.2048	0
m01275c	acyl-CoA-LD-SM pool[Cytosol]	0.13543	0.44614	4	3.7123	2.5329
m02161s	IDP[Extracellular]	0.13196	0.44751	1	4.0017	0
m02167s	IMP[Extracellular]	0.13196	0.44751	1	4.0017	0
m03106s	UDP[Extracellular]	0.13196	0.44751	1	4.0017	0
m03114r	UMP[Endoplasmic reticulum]	0.13196	0.44751	1	4.0017	0
m00212c	[protein]-N6,N6-dimethyl-L-lysine[Cytosol]	0.12907	0.44865	10	3.6045	4.1947
m00213c	[protein]-N6-methyl-L-lysine[Cytosol]	0.12907	0.44865	10	3.6045	4.1947
m02813c	pyridoxal[Cytosol]	0.12679	0.44955	2	3.8065	1.1303
m01408c	bufotenine[Cytosol]	0.12564	0.45001	1	3.9744	0
m02604c	N-methylserotonin[Cytosol]	0.12564	0.45001	1	3.9744	0
m02606c	N-methyltyramine[Cytosol]	0.12564	0.45001	1	3.9744	0
m00007m	(11Z)-eicosenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00016m	(13Z)-docosenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00018m	(13Z)-eicosenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00040m	(2E)-docosenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00042m	(2E)-dodecenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00043m	(2E)-eicosenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00044m	(2E)-heneicosenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00046m	(2E)-heptadecenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00051m	(2E)-hexadecenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00054m	(2E)-nonadecenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00057m	(2E)-octadecenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00061m	(2E)-pentadecenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00066m	(2E)-tetradecenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00069m	(2E)-tridecenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00072m	(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00073m	(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00091m	(4Z,7Z,10Z)-hexadecatrienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00095m	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00118m	(7Z)-tetradecenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00119m	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00678m	2-trans-4-cis-decadienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00682m	2-trans-cis,cis,cis,cis-4,8,11,14-eicosapentaenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m00980m	4-cis-decenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m01141m	5-tetradecenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m01191m	7-hexadecenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m01236m	9-eicosenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m01364m	arachidonyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m01576m	cis,cis-myristo-5,8-dienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m01577m	cis,cis-palmito-7,10-dienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m01586m	cis-vaccenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m01697m	dihomo-gamma-linolenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m01725m	docosanoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m01773m	eicosanoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m01802m	FAD[Mitochondria]	0.1141	0.45458	1	3.9245	0
m01803m	FADH2[Mitochondria]	0.1141	0.45458	1	3.9245	0
m01934m	gamma-linolenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m02052m	heneicosanoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m02101m	heptadecanoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m02345m	lauroyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m02390m	linolenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m02391m	linoleoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m02495m	myristoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m02612m	nonadecanoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m02647m	oleoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m02677m	palmitoleoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m02678m	palmitoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m02689m	pentadecanoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m02941m	stearoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m03009m	trans,cis,cis-2,7,10-hexadecatrienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m03010m	trans,cis,cis-2,9,12-octadecatrienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m03012m	trans,cis-2,11-eicosadienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m03013m	trans,cis-2,13-docosadienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m03014m	trans,cis-2,13-eicosadienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m03019m	trans,cis-hexadeca-2,7-dienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m03020m	trans,cis-hexadeca-2,9-dienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m03022m	trans,cis-myristo-2,5-dienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m03023m	trans,cis-myristo-2,7-dienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m03024m	trans,cis-octadeca-2,11-dienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m03025m	trans,cis-octadeca-2,9-dienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m03029m	trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m03030m	trans-2-cis,cis-5,8-tetradecatrienoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m03050m	tridecanoyl-CoA[Mitochondria]	0.1141	0.45458	1	3.9245	0
m01980c	glutathionyl-leukotriene C4[Cytosol]	0.11355	0.4548	4	3.6649	4.9854
m01980s	glutathionyl-leukotriene C4[Extracellular]	0.11355	0.4548	4	3.6649	4.9854
m02900c	S-glutathionyl-2-4-dinitrobenzene[Cytosol]	0.11355	0.4548	4	3.6649	4.9854
m02900s	S-glutathionyl-2-4-dinitrobenzene[Extracellular]	0.11355	0.4548	4	3.6649	4.9854
m02040g	H2O[Golgi apparatus]	0.11184	0.45547	10	3.5808	3.5188
m01905c	GA2[Cytosol]	0.10641	0.45763	3	3.719	1.6131
m02011c	GM2[Cytosol]	0.10641	0.45763	3	3.719	1.6131
m01260c	acetylcholine[Cytosol]	0.10451	0.45838	2	3.7381	1.7832
m01260s	acetylcholine[Extracellular]	0.10451	0.45838	2	3.7381	1.7832
m01430c	ceramide pool[Cytosol]	0.1025	0.45918	10	3.5679	2.1647
m00194c	[protein C terminal]-S-farnesyl-L-cysteine[Cytosol]	0.10209	0.45934	1	3.8726	0
m00204c	[protein]-L-lysine[Cytosol]	0.10138	0.45962	11	3.5607	3.9821
m02016s	GMP[Extracellular]	0.088553	0.46472	2	3.6891	0.44208
m03114s	UMP[Extracellular]	0.088553	0.46472	2	3.6891	0.44208
m02332g	lactose[Golgi apparatus]	0.080791	0.4678	1	3.7805	0
m02594c	nLc6Cer[Cytosol]	0.080791	0.4678	1	3.7805	0
m02928c	sphinganine-1-phosphate[Cytosol]	0.077929	0.46894	4	3.5876	3.2862
m02930c	sphingosine-1-phosphate[Cytosol]	0.077929	0.46894	4	3.5876	3.2862
m02346c	lc3Cer[Cytosol]	0.068509	0.47269	2	3.6276	0.21619
m00018p	(13Z)-eicosenoyl-CoA[Peroxisome]	0.052401	0.4791	4	3.5323	3.9365
m01514c	choloyl-CoA[Cytosol]	0.052401	0.4791	4	3.5323	3.9365
m02391p	linoleoyl-CoA[Peroxisome]	0.052401	0.4791	4	3.5323	3.9365
m02460c	melatonin[Cytosol]	0.041925	0.48328	1	3.6124	0
m00536c	1-methylnicotinamide[Cytosol]	0.040448	0.48387	2	3.5415	1.5051
m00235c	1,2-diacylglycerol-LD-PC pool[Cytosol]	0.038085	0.48481	4	3.5012	3.4049
m00238c	1,2-diacylglycerol-LD-PS pool[Cytosol]	0.038085	0.48481	4	3.5012	3.4049
m02997c	thymine[Cytosol]	0.036449	0.48546	2	3.5292	2.5138
m02581c	nicotinamide D-ribonucleotide[Cytosol]	0.036093	0.4856	2	3.5281	0.21434
m00247c	1,3-bisphospho-D-glycerate[Cytosol]	0.034113	0.48639	4	3.4926	2.1488
m00913c	3-phospho-D-glycerate[Cytosol]	0.034113	0.48639	4	3.4926	2.1488
m00211c	[protein]-N6,N6,N6-trimethyl-L-lysine[Cytosol]	0.032195	0.48716	11	3.4704	4.0042
m01421c	carbonate[Cytosol]	0.030351	0.48789	2	3.5105	0.027277
m01421s	carbonate[Extracellular]	0.030351	0.48789	2	3.5105	0.027277
m00524c	1D-myo-inositol-1,3,4-trisphosphate[Cytosol]	0.029686	0.48816	2	3.5084	0.30368
m00024c	(15Z)-tetracosenoylcarnitine[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m00109c	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m00112c	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m00130c	(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m00133c	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m00316c	12,15,18,21-tetracosatetraenoylcarnitine[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m02109c	hexacosanoylcarnitine[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m02111c	hexacosenoylcarnitine[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m02348p	L-carnitine[Peroxisome]	0.027868	0.48888	2	3.5028	1.3072
m02409c	L-octanoylcarnitine[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m02443p	malonyl-carnitin[Peroxisome]	0.027868	0.48888	2	3.5028	1.3072
m02444p	malonyl-CoA[Peroxisome]	0.027868	0.48888	2	3.5028	1.3072
m02634c	O-acetylcarnitine[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m02635c	O-butanoylcarnitine[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m02644c	octanoyl-CoA[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m02657c	O-propanoylcarnitine[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m02970c	tetracosanoylcarnitine[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m03046c	tricosanoylcarnitine[Cytosol]	0.027868	0.48888	2	3.5028	1.3072
m02200c	K+[Cytosol]	0.027259	0.48913	10	3.4642	2.5585
m02200s	K+[Extracellular]	0.027259	0.48913	10	3.4642	2.5585
m02552m	NAD+[Mitochondria]	0.01944	0.49225	12	3.4547	3.8572
m02553m	NADH[Mitochondria]	0.01944	0.49225	12	3.4547	3.8572
m01513s	choline[Extracellular]	0.014328	0.49428	3	3.4866	1.3341
m01986m	glycine[Mitochondria]	0.01179	0.4953	3	3.4802	1.4307
m02834c	retinol[Cytosol]	0.011061	0.49559	6	3.4488	4.8387
m01669c	deoxyguanosine[Cytosol]	0.011044	0.49559	3	3.4783	1.7797
m01597c	CoA[Cytosol]	0.009204	0.49633	45	3.4334	3.7025
m02923c	spermidine[Cytosol]	0.0077308	0.49692	4	3.4354	3.7959
m02842c	riboflavin[Cytosol]	0.0044161	0.49824	2	3.4309	1.9144
m00270c	10-HETE[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m00276c	11,12,15-THETA[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m00280c	11,14,15-THETA[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m00296c	11h-14,15-EETA[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m00297c	11-HETE[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m00305c	12(13)-EpOME[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m00305r	12(13)-EpOME[Endoplasmic reticulum]	0.0033096	0.49868	5	3.4331	2.5637
m00354c	13-HETE[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m00390c	15H-11,12-EETA[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m00396c	16(R)-HETE[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m00400c	16alpha-hydroxyestrone[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m00400r	16alpha-hydroxyestrone[Endoplasmic reticulum]	0.0033096	0.49868	5	3.4331	2.5637
m00414c	17-HETE[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m00426c	18-HETE[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m00430c	19(S)-HETE[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m00649c	2-hydroxyestradiol-17beta[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m00649r	2-hydroxyestradiol-17beta[Endoplasmic reticulum]	0.0033096	0.49868	5	3.4331	2.5637
m01054c	5,6-EET[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m01190c	7-HETE[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m01209c	8,9-EET[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m01213c	8-HETE[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m01216c	9(10)-EpOME[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m01216r	9(10)-EpOME[Endoplasmic reticulum]	0.0033096	0.49868	5	3.4331	2.5637
m01239c	9-HETE[Cytosol]	0.0033096	0.49868	5	3.4331	2.5637
m02736c	phosphatidylinositol-4,5-bisphosphate[Cytosol]	-0.001885	0.50075	16	3.4286	2.5786
m02853c	S-(2,2-dichloro-1-hydroxy)ethyl glutathione[Cytosol]	-0.002632	0.50105	1	3.4197	0
m00553c	1-phosphatidyl-1D-myo-inositol-4-phosphate[Cytosol]	-0.0094244	0.50376	21	3.4181	4.0751
m01590s	CMP[Extracellular]	-0.012621	0.50503	1	3.3765	0
m01630s	cytidine[Extracellular]	-0.012621	0.50503	1	3.3765	0
m01686c	dGMP[Cytosol]	-0.012621	0.50503	1	3.3765	0
m01752c	dTMP[Cytosol]	-0.012621	0.50503	1	3.3765	0
m02038s	guanosine[Extracellular]	-0.012621	0.50503	1	3.3765	0
m03123s	uridine[Extracellular]	-0.012621	0.50503	1	3.3765	0
m02041c	H2O2[Cytosol]	-0.015314	0.50611	7	3.4107	6.3139
